run_id,current time,current time folder YYYY_MM_DD_hh_mm_ss,K,log2(K),D,M,bits,beta,max_channel_number,change_channel_size_across_layers,use_EMA,model_param_number,encoder_param_number,VQ_param_number,decoder_param_number,[percentage] encoder_param_number,[percentage] VQ_param_number,[percentage] decoder_param_number,last_train_loss_value,last_train_loss_value:(1/var)||X - X_rec ||^2,last_train_loss_value: (1+beta)*||Z_e-Z_q||^2,last_train_loss_value:beta*||Z_e-Z_q||^2,last_train_loss_value:||Z_e-Z_q||^2,[percentage] last_train_loss_value:(1/var)||X - X_rec ||^2,[percentage] last_train_loss_value: (1+beta)*||Z_e-Z_q||^2,[percentage] last_train_loss_value:beta*||Z_e-Z_q||^2,[percentage] last_train_loss_value:||Z_e-Z_q||^2,last_val_loss_value,last_val_loss_value:(1/var)||X - X_rec ||^2,last_val_loss_value: (1+beta)*||Z_e-Z_q||^2,last_val_loss_value:beta*||Z_e-Z_q||^2,last_val_loss_value:||Z_e-Z_q||^2,[percentage] last_val_loss_value:(1/var)||X - X_rec ||^2,[percentage] last_val_loss_value: (1+beta)*||Z_e-Z_q||^2,[percentage] last_val_loss_value:beta*||Z_e-Z_q||^2,[percentage] last_val_loss_value:||Z_e-Z_q||^2,mean test loss value,mean test loss value:(1/var)||X - X_rec ||^2,mean test loss value: (1+beta)*||Z_e-Z_q||^2,mean test loss value:beta*||Z_e-Z_q||^2,mean test loss value:||Z_e-Z_q||^2,[percentage] mean test loss value:(1/var)||X - X_rec ||^2,[percentage] mean test loss value: (1+beta)*||Z_e-Z_q||^2,[percentage] mean test loss value:beta*||Z_e-Z_q||^2,[percentage] mean test loss value:||Z_e-Z_q||^2,last_train_perplexity,last_val_perplexity,mean test perplexity,true_perplexity,last_train_entropy,last_val_entropy,mean test entropy,true_entropy
211,00:26  02.01.2023,2023_01_02_00_26_58,2048,11,64,1,44,0.25,128,FALSE,FALSE,2635203,1293120,131072,1211011,49.07098239,4.973886262,45.95513135,0.032706239,0.005709559,0.02699668,0.005399336,0.021597344,17.45709507,82.54290483,16.50858097,66.03432386,0.162568508,0.107829486,0.05473902,0.010947804,0.043791216,66.32864384,33.67135548,6.734271095,26.93708438,0.159652949,0.105393699,0.05425925,0.01085185,0.0434074,66.0142511,33.98574881,6.797149762,27.18859905,35.46354294,35.58443832,3.801359473,2048,5.148264769,5.153174559,1.926515459,11
212,02:44  02.01.2023,2023_01_02_02_44_18,2048,11,64,1,44,0.25,256,FALSE,FALSE,9628483,4978240,131072,4519171,51.70326416,1.361294401,46.93544144,0.001571755,0.00053539,0.001036365,0.000207273,0.000829092,34.06320214,65.93679862,13.18735972,52.7494389,0.145477639,0.12638101,0.019096627,0.003819325,0.015277302,86.87315213,13.12684703,2.625369405,10.50147762,0.139538691,0.120279765,0.019258926,0.003851785,0.015407141,86.19814647,13.80185346,2.760370693,11.04148277,43.67795563,43.07308578,3.838933315,2048,5.448833427,5.428714778,1.9407055,11
213,03:35  02.01.2023,2023_01_02_03_35_55,2048,11,64,0,11,0.25,128,TRUE,FALSE,874555,412796,131072,330687,47.20069064,14.98727924,37.81203012,0.730046595,0.614545495,0.115501098,0.02310022,0.092400879,84.17894139,15.82105844,3.164211687,12.65684675,0.707953539,0.596950926,0.111002615,0.022200523,0.088802092,84.32063592,15.67936443,3.135872885,12.54349154,0.709207742,0.601008553,0.108199189,0.021639838,0.086559351,84.74365376,15.25634625,3.051269251,12.205077,12.54029465,9.068796158,1,2048,3.648499341,3.180911052,0,11
214,04:28  02.01.2023,2023_01_02_04_28_12,2048,11,64,0,11,0.25,256,TRUE,FALSE,2611251,1469624,131072,1010555,56.28045714,5.019509806,38.70003305,0.999407046,0.999406928,1.29E-07,2.57E-08,1.03E-07,99.9999882,1.29E-05,2.57E-06,1.03E-05,0.964145098,0.96414474,3.56E-07,7.12E-08,2.85E-07,99.99996291,3.69E-05,7.38E-06,2.95E-05,0.960316536,0.960316187,3.56E-07,7.11E-08,2.85E-07,99.99996367,3.70E-05,7.41E-06,2.96E-05,1,1,1,2048,0,0,0,11
215,05:34  02.01.2023,2023_01_02_05_34_48,2048,11,64,0,11,0.25,128,FALSE,FALSE,3159747,1555392,131072,1473283,49.22520695,4.148180218,46.62661283,0.999376,0.999376,2.95E-09,5.89E-10,2.36E-09,100,2.95E-07,5.90E-08,2.36E-07,0.962918576,0.962918576,7.58E-09,1.52E-09,6.07E-09,100,7.87E-07,1.57E-07,6.30E-07,0.959066449,0.959066446,7.72E-09,1.54E-09,6.17E-09,99.9999997,8.05E-07,1.61E-07,6.44E-07,1,1,1,2048,0,0,0,11
216,07:53  02.01.2023,2023_01_02_07_53_47,2048,11,64,0,11,0.25,256,FALSE,FALSE,11726147,6027072,131072,5568003,51.39857107,1.117775515,47.48365341,0.999242188,0.999242188,1.72E-08,3.44E-09,1.38E-08,100,1.72E-06,3.44E-07,1.38E-06,0.96294824,0.96294824,1.76E-08,3.51E-09,1.40E-08,100,1.82E-06,3.65E-07,1.46E-06,0.959053118,0.95905311,1.67E-08,3.35E-09,1.34E-08,99.99999917,1.74E-06,3.49E-07,1.40E-06,1,1,1,2048,0,0,0,11
217,08:42  02.01.2023,2023_01_02_08_42_55,1024,10,64,7,640,0.25,128,TRUE,FALSE,790147,403360,65536,321251,51.04872891,8.29415286,40.65711823,0.001918093,0.000728896,0.001189196,0.000237839,0.000951357,38.00110527,61.99889524,12.39977905,49.59911619,0.00236533,0.00111298,0.00125235,0.00025047,0.00100188,47.05390377,52.946096,10.5892192,42.3568768,0.002336441,0.001121325,0.001215117,0.000243023,0.000972093,47.99284384,52.0071561,10.40143122,41.60572488,12.70314693,12.89165878,7.996159855,1024,3.667114033,3.688366004,2.999307314,10
218,09:49  02.01.2023,2023_01_02_09_49_17,1024,10,64,7,640,0.25,256,TRUE,FALSE,2464963,1429248,65536,970179,57.98253361,2.658701165,39.35876522,0.000292523,0.000117025,0.000175498,3.51E-05,0.000140398,40.00542819,59.99457224,11.99891445,47.99565779,0.000442542,0.000267579,0.000174963,3.50E-05,0.00013997,60.4640736,39.53592727,7.907185455,31.62874182,0.000441725,0.000264423,0.000177302,3.55E-05,0.000141842,59.86140747,40.13859257,8.027718513,32.11087405,14.39944553,14.53952122,10.11289573,1024,3.847941355,3.861907857,3.338124254,10
219,10:56  02.01.2023,2023_01_02_10_56_06,1024,10,64,7,640,0.25,128,FALSE,FALSE,1520579,768576,65536,686467,50.54495689,4.309937202,45.14510591,0.001999196,0.000907315,0.00109188,0.000218376,0.000873504,45.38401604,54.61598366,10.92319673,43.69278693,0.003502537,0.002255168,0.001247369,0.000249474,0.000997895,64.38670112,35.61329985,7.122659969,28.49063988,0.003499353,0.002267758,0.001231594,0.000246319,0.000985276,64.80508116,35.19491893,7.038983787,28.15593515,18.69926643,16.57435036,10.84925276,1024,4.22490977,4.050880419,3.439523775,10
220,13:14  02.01.2023,2023_01_02_13_14_07,1024,10,64,7,640,0.25,256,FALSE,FALSE,5367619,2880576,65536,2421507,53.66580601,1.22095104,45.11324295,0.008519721,0.004734198,0.003785524,0.000757105,0.003028419,55.56751758,44.43248284,8.886496567,35.54598627,0.012335947,0.007685216,0.004650731,0.000930146,0.003720584,62.29936289,37.70063797,7.540127593,30.16051037,0.0123274,0.007856079,0.004471321,0.000894264,0.003577057,63.72859294,36.27140706,7.254281413,29.01712565,23.04114151,24.87347603,12.83233068,1024,4.526140288,4.636536231,3.681711319,10
